Image Name,Dice Score,IoU Score
1.png,0.7834846816128345,0.846849023454404
10.png,0.3371190674400542,0.2551045746315531
11.png,0.7851856974840224,0.7038843720257809
12.png,0.8052199393450868,0.7233363372273727
13.png,0,0
14.png,0.7274747695514538,0.6484999227290191
15.png,0.8092856575736935,0.8524716216910719
16.png,0.3743471143082694,0.36480266895906693
17.png,0.8931346581025454,0.8173560966160932
18.png,0.8977141479026551,0.809681253669153
19.png,0.8947775285342006,0.8388118651301634
2.png,0.8301486939551328,0.7235766824226475
20.png,0.8615023754997966,0.8756828989734563
21.png,0.8565976866731149,0.8605256510912244
22.png,0.8839525138646332,0.8340280647350777
23.png,0.8817982768261593,0.8521440881981931
24.png,0.8646219317318514,0.8718902661722898
25.png,0.8238734480316136,0.8684150114592166
26.png,0.8115382459673336,0.885895786786841
27.png,0.8049122413452905,0.8732161024291882
28.png,0,0
29.png,0.8358178216811587,0.9082039785913615
3.png,0,0
30.png,0.8128592483369389,0.8268247481945658
31.png,0.8170075800584089,0.8974070469824856
32.png,0.8331506434468847,0.959670462931749
33.png,0.018921475875020438,0.022802470208567672
34.png,0,0
35.png,0.013921210106325127,0.015328326228459107
36.png,0.5082216807996008,0.5052925747071357
4.png,0,0
5.png,0.8680493945466006,0.8374502684204447
6.png,0.8031627943170819,0.867225596828566
7.png,0.8451367349156288,0.8777261331604506
8.png,0.8389314231206983,0.8110019483186699
9.png,0,0
,,
Summary Statistics:,,
Number of images processed: 36,,
Average Dice Score: 0.6145,,
Average IoU Score: 0.6121,,
Best Dice Score: 0.8977,,
Worst Dice Score: 0.0000,,
